שם הכלי,קטגוריה / תשמיש,מקור מדויק,ציטוט מתוך המקור,הסבר וביאור הכלי
סל / סלסלה,כלי קיבול / חקלאות,בראשית מ' ט"ז,וְהִנֵּה שְׁלֹשָׁה סַלֵּי חֹרִי עַל רֹאשִׁי,כלי קיבול עשוי נצרים או כפות תמרים לנשיאת לחם ופירות
טנא,כלי קיבול / חקלאות,דברים כ"ו ב',וְשַׂמְתָּ בַטֶּנֶא וְהָלַכְתָּ אֶל הַמָּקוֹם,סל קלוע מנצרים המיועד להבאת ביכורים לבית המקדש
מזרק,כלי שרת / משתה,עמוס ו' ו',הַשֹּׁתִים בְּמִזְרְקֵי יַיִן,קערה רחבה ועמוקה לשתיית יין או להזאת דם במקדש
נאד,כלי קיבול לנוזלים,יהושע ט' ד',וַנֹּאדות יַיִן בָּלִים וּמְבֻקָּעִים,כלי עשוי עור בהמה המיועד לאחסון וטלטול יין או מים
צפחת,כלי קיבול לנוזלים,שמואל א' כ"ו י"א,קַח נָא אֶת הַחֲנִית... וְאֶת צַפַּחַת הַמַּיִם,פך או בקבוק חרס קטן לנוזלים
פך,כלי קיבול לנוזלים,שמואל א' י' א',וַיִּקַּח שְׁמוּאֵל אֶת פַּךְ הַשֶּׁמֶן,כלי חרס קטן בעל צוואר צר ליציקת שמן
מגפה,כלי חקלאות,משנה כלים י"ג ז',מַגְרֵפָה שֶׁנָּטְלוּ שִׁנֶּיהָ,כלי שיניים ממתכת לאיסוף עשב ותבואה
כף,כלי שרת / אכילה,שמות כ"ה כ"נ,וְעָשִׂיתָ קְעָרֹתָיו וְכַפֹּתָיו,כלי זהב או כסף קטן בצורת כף להחזקת קטורת
מזרק כסף,כלי שרת,במדבר ז' י"ג,מִזְרָק אֶחָד כֶּסֶף שִׁבְעִים שֶׁקֶל,כלי שרת במקדש לקבלת דם הקרבנות וזריקתו על המזבח
יע,כלי נקיון / מקדש,שמות כ"ז ג',וְעָשִׂיתָ סִּרֹתָיו לְדַשְּׁנוֹ וְיָעָיו,כלי ממתכת לאיסוף הדשן והאפר מן המזבח
מזלג,כלי שרת / בישול,שמות כ"ז ג',וּמִזְלְגֹתָיו וּמַחְתֹּתָיו,כלי בעל שיניים לאחיזה והפיכת בשר הקרבנות
מחתה,כלי שרת / מאור,שמות כ"ז ג',וְכָל כֵּלָיו תַּעֲשֶׂה נְחֹשֶׁת,כלי דמוי יערה שטוחה להעברת גחלים וקטורת
