שם הכלי,קטגוריה / תשמיש,מקור מדויק,ציטוט מתוך המקור,הסבר וביאור הכלי
סיר,כלי בישול,שמות ט"ז ג',בְּשִׁבְתֵּנוּ עַל סִיר הַבָּשָׂר,כלי מתכת או חרס גדול לבישול על האש
כיור,כלי רחצה / מקדש,שמות ל' י"ח,וְעָשִׂיתָ כִיּוֹר נְחֹשֶׁת,כלי קיבול למים לרחצת ידים ורגלים
מזרק,כלי שרת / משתה,במדבר ז' י"ג,מִזְרָק אֶחָד כֶּסֶף,מזרק כסף לזריקת דם הקרבנות או לקבלת יין
מזלג,כלי אכילה / מקדש,שמואל א' ב' י"ג,וְהַמַּזְלֵג שְׁלֹשׁ הַשִּׁנַּיִם בְּיָדוֹ,כלי בעל שיניים להוצאת בשר מתוך הבלול/סיר
נבל,כלי נגינה,תהילים פ"א ג',כִּנּוֹר נָעִים עִם נָבֶל,כלי נגינה בעל מיתרים לפריטה
כינור,כלי נגינה,בראשית ד' כ',הוּא הָיָה אֲבִי כָּל תֹּפֵשׂ כִּנּוֹר וְעוּגָב,כלי נגינה עתיק בעל מיתרים
מגרפה,כלי עבודה / מקדש,משנה תמיד ה' ו',וּמַגְרֵפָה הָיְתָה שָׁם... וְקוֹלָהּ הוֹלֵךְ,כלי לאיסוף הדשן מהמזבח; וכן כלי נגינה/עוצמתי במקדש
מכתשת,כלי כתישה,משנה יומא ג' י"א,שֶׁל בֵּית אַבְטִינָס לֹא רָצוּ לְלַמֵּד עַל מַעֲשֵׂה הַקְּטֹרֶת... מַכְתֵּשׁ,כלי עמוק (משיש או כסף) לכתישת סממני הקטורת
עריבה,כלי לישה / בית,משנה כלים ט"ז א',עֲרֵבָה שֶׁל נַחְתָּם,גיגית עץ גדולה המיועדת ללישת בצק
אלפס,כלי בישול,משנה שבת ג' ה',כְּלִי שֶׁפִּנָּה מִמֶּנּוּ... אֲבָל מַכְנִיס הוּא לְתוֹךְ הָאֶלְפַּס,כלי חרס/מתכת לבישול מהיר (דומה למחבת עמוקה עם מכסה)
יורה,כלי בישול גדול,בבלי פסחים ל:,יורה של נחשת,סיר מתכת גדול מאוד להרתחת מים ובישול
קדירה,כלי בישול,בבלי ביצה כב:,קדירה שבישל בה ביום טוב,סיר חרס סטנדרטי לבישול ממושך על גבי כירה
לגין,כלי קיבול לנוזלים,משנה כלים ב' ב',הַלָּגִין וְהַכַּד,כד או בקבוק קטן לאחסון יין, שמן או מים
חבית,כלי אחסון גדול,משנה בבא מציעא ו' ה',הַמַּעֲבִיר חָבִית מִמָּקוֹם לְמָקוֹם,כלי חרס/עץ גדול לאחסון יין ושמן לטווח ארוך
נר,כלי מאור,משנה שבת ב' א',בַּמֶּה מַדְלִיקִין וּבַמֶּה אֵין מַדְלִיקִין... אֵין מַדְלִיקִין לֹא בְּלֶכֶשׁ,כלי חרס קטן המכיל שמן ופתילה למאור
קוז,כלי שתייה,בבלי בבא בתרא נח:,כסי וקוזי,כוס חרס או מים קטנה לשתייה
אשק Very/חמת,כלי קיבול לנוזלים,בראשית כ"א ארבעה עשר,וַיִּקַּח לֶחֶם וַחֵמַת מַיִם,נאד עשוי עור בהמה להובלת מים בדרכים
מחרשה,כלי חקלאות,שמואל א' י"ג כ',וַיֵּרְדוּ כָל יִשְׂרָאֵל הַפְּלִשְׁתִּים לִלְטֹושׁ אִישׁ אֶת מַחֲרַשְׁתּוֹ,כלי ברזל המחובר לבקר לעיבוד ואדמת השדה
אופני שן / קשת,כלי מלחמה,בראשית מ"ח כ"ב,בְּחַרְבִּי וּבְקַשְׁתִּי,כלי נשק לירי חצים למרחק
רומח,כלי מלחמה,במדבר כ"ה ז',וַיִּקַּח רֹמַח בְּיָדוֹ,כלי נשק ארוך בעל חוד מתכת לדקירה
כידון,כלי מלחמה,יהושע ה' י"ח,נְטֵה בַּכִּידוֹן אֲשֶׁר בְּיָדְךָ,חנית קצרה או חרב הטלה
מגל,כלי חקלאות,ירמיהו נ' ט"ז,וְתֹפֵשׂ מַגָּל בְּעֵת קָצִיר,כלי מתכת מעוקל לקצירת תבואה וקש
מזמרה,כלי חקלאות,ישעיהו ב' ד',וְכַתְּתוּ חַרְבוֹתָם לְאִתִּים וַחֲנִיתוֹתֵיהֶם לְמַזְמֵרוֹת,סכין מעוקלת לזמירת ענפי גפנים
איל ניגוח,כלי מצור,יחזקאל כ"א כ"ז,לָשִׂים כָּרִים עַל שְׁעָרִים,קורה כבדה עם ראש ברזל לבקוע חומות
מכתש,כלי כתישה,משלי כ"ז כ'ב,אִם תִּכְתּוֹשׁ אֶת הָאֱוִיל בַּמַּכְתֵּשׁ,כלי עמוק לכתישת דגן, תבלינים או סממנים
עלי,כלי כתישה,משלי כ"ז כ'ב,בְּתוֹךְ הָרִיפוֹת בַּעֱלִי,מוט כבד ממתכת או עץ הכותש את החומר בתוך המכתש
