שם הכלי,קטגוריה / תשמיש,מקור מדויק,ציטוט מתוך המקור,הסבר וביאור הכלי
מגרפה,כלי מקדש / נגינה,משנה תמיד ג' ח',המגרפה לא הייתה במקדש... עשרה נקבים,כלי נגינה מקדשי מיוחד בעל קול עז שהשמיע מאה מיני צלילים
קלפי,כלי מקדש / גורל,משנה יומא ד' א',טרף בקלפי והעלה שני גורלות,קלפי (קלפי עץ או זהב) שבה הונחו הגורלות ליום הכיפורים
קטרת,כלי מקדש,משנה תמיד ו' ג',נטל את הקטרת... והיה בה שלוש סאין,כלי זהב ייעודי לאחסון ונשיאת הקטורת
קיתון,כלי מקדש / ניסוך,משנה סוכה ד' ט',קיתון של זהב שפיף שלוש לוגין,צלוחית זהב ייעודית לניסוך המים והיין
צלוחית של אפר,כלי טהרה / מקדש,משנה פרה ג' י',ומביאין צלוחית של חרס,כלי חרס מיוחד להחזקת אפר פרה אדומה
מקטף,כלי חקלאות,משנה כלים י"ג ח',מקטף של תאנים,סכין מעוקלת ומיועדת לקטיף תאנים או פירות רכים
גזז,כלי מלאכה / גז,משנה כלים י"ג א',גזז של צמר,כלי מתכת לגזירת צמר כבשים
מגרפה של סיד,כלי בנייה,משנה כלים י"ג ז',מגרפה של סיד,כלי שטוח לערבוב והחלקה של סיד וטיח
מרטש,כלי חקלאות / עיבוד,משנה כלים י"ג ד',מרטש של אדמה,כלי מתכת כבד לשידוד ופירוק רגבי אדמה קשים
אגן של כובס,כלי מלאכה,משנה כלים ה' י',אגן של כובסין,גיגית אבן או חרס עמוקה ומיוחדת לשריה וחבטת כביסה
קדרה של נקבים,כלי סינון / בישול,משנה כלים ב' א',קדרה של נקבים,כלי חרס מחורר ששימש לאידוי מאכלים
שפופרת של קנה,כלי רפואה / קוסמטיקה,משנה כלים י"ז א',שפופרת של קנה,נרתיק קנה חלול לשמירת אבקות רפואיות או כחל
מדף של נפח,כלי מלאכה,משנה כלים כ' א',מדף של נפחים,מתקן עץ להחזקת חומרי גלם וכלים ליד הסדן
מסור של פחמים,כלי מלאכה,משנה כלים י"ג ד',מסור של פחמים,מסור בעל שיניים מיוחדות לחיתוך עצי פחם
רשת של סיידים,כלי בנייה,משנה כלים ט"ז א',רשת של סיידין,כלי סינון עשוי רשת נצרים לניפוי אבני סיד
סל של גללים,כלי חקלאות,משנה כלים ט"ז א',סל של גללים,סל עבה עשוי חבלים או נצרים לאיסוף ופיזור דשן
